	Unnamed: 0	RowNumber	CustomerId	Surname	CreditScore	Geography	Gender	Age	Tenure	Balance	NumOfProducts	HasCrCard	IsActiveMember	EstimatedSalary	Exited	Predictions - Churn or Not	Predictions - Probability to Churn	Predictions - Churn or Not Desc
0	0	1	15634638	AP Hargrave	619	France	Female	42	2	0.0	1	1	1	101348.88	1	0	0.20652215181749864	Retention
1	1	2	15647347	AP Hill	608	Spain	Female	41	1	83807.86	1	0	1	112542.58	0	0	0.19327138792523357	Retention
2	2	3	15619340	AP Onio	502	France	Female	42	8	159660.8	3	1	0	113931.57	1	1	0.7223914863088605	Churn
3	3	4	15701390	AP Boni	699	France	Female	39	1	0.0	2	0	0	93826.63	0	0	0.1472947066637905	Retention
4	4	5	15737924	AP Mitchell	850	Spain	Female	43	2	125510.82	1	1	1	79084.1	0	0	0.23133809202965033	Retention
5	5	6	15574048	AP Chu	645	Spain	Male	44	8	113755.78	2	1	0	149756.71	1	0	0.34201452240389957	Retention
6	6	7	15592567	AP Bartlett	822	France	Male	50	7	0.0	2	1	1	10062.8	0	0	0.1428120544486773	Retention
7	7	8	15656184	AP Obinna	376	Germany	Female	29	4	115046.74	4	1	0	119346.88	1	1	0.7124527631697211	Churn
8	8	9	15792401	AP He	501	France	Male	44	4	142051.07	2	0	1	74940.5	0	0	0.17612331242020385	Retention
9	9	10	15592425	AP H?	684	France	Male	27	2	134603.88	1	1	1	71725.73	0	0	0.08034053375653968	Retention
10	10	11	15767857	AP Bearce	528	France	Male	31	6	102016.72	2	0	0	80181.12	0	0	0.09889527616069259	Retention
11	11	12	15737209	AP Andrews	497	Spain	Male	24	3	0.0	2	1	0	76390.01	0	0	0.09054456156449431	Retention
12	12	13	15632300	AP Kay	476	France	Female	34	10	0.0	2	1	0	26260.98	0	0	0.12587559952950678	Retention
13	13	14	15691519	AP Chin	549	France	Female	25	5	0.0	2	0	0	190857.79	0	0	0.12704979340283332	Retention
14	14	15	15600918	AP Scott	635	Spain	Female	35	7	0.0	2	1	1	65951.65	0	0	0.08093238548999951	Retention
